lead_id,empresa,setor,canal_origem,dia_chegada,orcamento_declarado,urgencia_declarada,tamanho_funcionarios,fit_real
1655,Empresa_1655,industria,inbound,8,18656.46,0.883,349,0.6098
1570,Empresa_1570,varejo,outbound,8,50502.57,0.695,96,0.3893
1998,Empresa_1998,tecnologia,inbound,8,39383.56,0.925,213,0.4787
752,Empresa_0752,saude,inbound,8,29698.64,0.353,323,0.3649
1774,Empresa_1774,saude,inbound,8,72390.01,0.841,332,0.6883
1600,Empresa_1600,industria,inbound,9,48901.3,0.756,8,0.307
1785,Empresa_1785,varejo,indicacao,9,74257.67,0.476,363,0.4984
1590,Empresa_1590,varejo,inbound,9,22271.15,0.062,12,0.01
911,Empresa_0911,industria,inbound,9,57940.67,0.157,14,0.01
174,Empresa_0174,tecnologia,inbound,9,24441.25,0.315,29,0.01
871,Empresa_0871,industria,inbound,10,29842.14,0.244,232,0.3559
978,Empresa_0978,servicos,inbound,10,21663.16,0.571,253,0.4078
366,Empresa_0366,varejo,outbound,11,35128.24,0.975,481,0.5201
311,Empresa_0311,varejo,inbound,11,58781.73,0.489,106,0.3454
1372,Empresa_1372,servicos,indicacao,11,58097.1,0.787,204,0.8671
842,Empresa_0842,industria,inbound,11,85073.82,0.941,298,0.9037
801,Empresa_0801,varejo,inbound,11,28326.02,0.233,231,0.1409
1659,Empresa_1659,industria,inbound,12,52572.43,0.061,262,0.4324
1063,Empresa_1063,saude,inbound,12,72644.69,0.187,411,0.795
1967,Empresa_1967,saude,outbound,12,48227.72,0.93,298,0.5397
1523,Empresa_1523,tecnologia,indicacao,12,46232.32,0.837,207,0.7321
1090,Empresa_1090,servicos,outbound,12,38078.22,0.761,426,0.7378
607,Empresa_0607,tecnologia,outbound,12,58961.99,0.814,262,0.408
773,Empresa_0773,servicos,inbound,13,77012.5,0.435,451,0.9257
1638,Empresa_1638,saude,indicacao,13,50165.64,0.487,430,0.6075
1677,Empresa_1677,saude,inbound,13,57290.5,0.851,173,0.6654
1524,Empresa_1524,tecnologia,indicacao,13,41510.75,0.307,366,0.7167
857,Empresa_0857,varejo,outbound,13,58499.32,0.149,25,0.3711
628,Empresa_0628,varejo,inbound,13,29188.28,0.472,315,0.7244
121,Empresa_0121,servicos,outbound,14,53585.51,0.894,52,0.1435
1341,Empresa_1341,industria,inbound,14,58555.93,0.549,100,0.4005
948,Empresa_0948,tecnologia,inbound,14,57657.71,0.549,490,0.5147
398,Empresa_0398,saude,outbound,15,60601.29,0.539,266,0.1278
50,Empresa_0050,varejo,inbound,15,55782.39,0.343,385,0.8223
1964,Empresa_1964,tecnologia,outbound,16,35312.24,0.612,217,0.6362
552,Empresa_0552,tecnologia,inbound,16,55928.36,0.407,453,0.4319
1917,Empresa_1917,industria,outbound,16,70506.96,0.695,87,0.5147
535,Empresa_0535,varejo,outbound,16,62749.42,0.026,133,0.4201
1929,Empresa_1929,saude,outbound,17,64648.56,0.076,204,0.4469
1863,Empresa_1863,tecnologia,inbound,17,70481.98,0.547,235,0.6841
1287,Empresa_1287,tecnologia,inbound,17,49535.33,0.026,429,0.2435
1887,Empresa_1887,saude,inbound,17,53992.7,0.51,460,0.6642
392,Empresa_0392,saude,inbound,17,40564.48,0.664,491,0.4624
830,Empresa_0830,tecnologia,inbound,18,57918.68,0.217,366,0.5023
277,Empresa_0277,tecnologia,indicacao,18,27751.77,0.403,244,0.4319
1124,Empresa_1124,servicos,inbound,18,46316.49,0.604,447,0.2699
22,Empresa_0022,industria,inbound,18,74450.83,0.971,96,0.8115
551,Empresa_0551,industria,inbound,19,61130.67,0.089,412,0.4913
1262,Empresa_1262,servicos,outbound,19,65915.56,0.026,23,0.1782
116,Empresa_0116,saude,outbound,19,54653.52,0.265,238,0.5654
42,Empresa_0042,saude,inbound,19,36689.81,0.349,330,0.1604
1689,Empresa_1689,industria,outbound,19,67461.13,0.167,499,0.6212
1297,Empresa_1297,saude,indicacao,19,36771.66,0.158,427,0.5288
1327,Empresa_1327,industria,inbound,19,18222.05,0.855,87,0.3799
1914,Empresa_1914,servicos,indicacao,20,73806.11,0.396,134,0.5742
962,Empresa_0962,saude,inbound,20,29953.12,0.111,28,0.1459
1252,Empresa_1252,servicos,inbound,20,34061.78,0.497,227,0.3807
1386,Empresa_1386,industria,outbound,20,74975.16,0.558,176,0.5408
973,Empresa_0973,saude,inbound,20,62336.28,0.326,161,0.4453
1226,Empresa_1226,industria,indicacao,20,64574.28,0.595,496,0.532
1325,Empresa_1325,saude,inbound,20,69349.33,0.893,216,0.4936
408,Empresa_0408,tecnologia,inbound,20,10138.79,0.79,303,0.5862
1349,Empresa_1349,industria,indicacao,21,47817.1,0.74,78,0.2408
1656,Empresa_1656,servicos,inbound,21,57769.48,0.244,125,0.3487
1898,Empresa_1898,saude,inbound,21,41000.59,0.608,332,0.9287
160,Empresa_0160,servicos,outbound,22,30697.66,0.588,307,0.6145
1093,Empresa_1093,tecnologia,outbound,23,53607.28,0.777,250,0.5751
432,Empresa_0432,varejo,inbound,23,47378.27,0.193,365,0.3953
1989,Empresa_1989,servicos,inbound,23,22795.13,0.124,382,0.3934
185,Empresa_0185,industria,indicacao,23,80715.12,0.339,428,0.6858
99,Empresa_0099,saude,outbound,24,31890.42,0.308,113,0.5522
294,Empresa_0294,tecnologia,outbound,24,45262.99,0.069,497,0.593
504,Empresa_0504,tecnologia,inbound,24,5000.0,0.294,91,0.2012
1562,Empresa_1562,servicos,inbound,25,33668.5,0.246,419,0.4695
1683,Empresa_1683,varejo,outbound,25,74568.42,0.71,58,0.3188
844,Empresa_0844,servicos,outbound,25,52621.16,0.127,183,0.5565
1664,Empresa_1664,servicos,outbound,26,73827.79,0.734,289,0.3241
906,Empresa_0906,varejo,indicacao,26,45491.37,0.777,113,0.6784
1161,Empresa_1161,tecnologia,inbound,26,42734.79,0.004,313,0.2848
609,Empresa_0609,varejo,inbound,27,60760.69,0.453,416,0.8072
1113,Empresa_1113,industria,inbound,27,45191.26,0.916,461,0.9099
1803,Empresa_1803,industria,inbound,28,41807.02,0.236,299,0.5197
409,Empresa_0409,saude,outbound,28,24070.55,0.625,401,0.4852
960,Empresa_0960,saude,inbound,28,82337.49,0.774,20,0.528
1195,Empresa_1195,tecnologia,outbound,30,89209.69,0.898,239,0.8007
1345,Empresa_1345,saude,inbound,30,96196.89,0.138,297,0.4422
1857,Empresa_1857,saude,indicacao,30,70874.87,0.705,437,0.8373
391,Empresa_0391,industria,inbound,31,51087.07,0.588,392,0.3526
748,Empresa_0748,industria,outbound,31,42565.67,0.988,340,0.383
1550,Empresa_1550,servicos,indicacao,31,18658.83,0.998,182,0.3677
866,Empresa_0866,servicos,outbound,32,23156.5,0.149,325,0.5343
699,Empresa_0699,servicos,inbound,32,45977.91,0.361,182,0.3352
1936,Empresa_1936,industria,indicacao,33,49334.11,0.441,483,0.6835
1108,Empresa_1108,servicos,outbound,33,76071.3,0.124,11,0.1242
341,Empresa_0341,servicos,inbound,33,56087.33,0.987,96,0.5686
885,Empresa_0885,industria,inbound,34,55778.33,0.594,60,0.6648
1571,Empresa_1571,tecnologia,inbound,34,45601.28,0.366,298,0.6615
555,Empresa_0555,saude,inbound,34,43858.34,0.411,311,0.3864
472,Empresa_0472,varejo,outbound,34,44312.72,0.227,488,0.4409
1460,Empresa_1460,varejo,outbound,35,69259.21,0.567,395,0.7377
180,Empresa_0180,saude,inbound,35,76120.03,0.253,175,0.4008
93,Empresa_0093,tecnologia,inbound,35,48405.64,0.765,383,0.5658
486,Empresa_0486,saude,indicacao,36,34410.35,0.639,291,0.1395
1251,Empresa_1251,tecnologia,outbound,36,80335.85,0.756,82,0.8297
1639,Empresa_1639,tecnologia,inbound,36,45924.36,0.184,332,0.2975
1137,Empresa_1137,tecnologia,outbound,37,50744.56,0.492,236,0.4272
418,Empresa_0418,servicos,inbound,37,48617.24,0.592,12,0.4927
1795,Empresa_1795,industria,indicacao,37,43486.04,0.683,299,0.6152
1886,Empresa_1886,servicos,outbound,38,28728.81,0.586,105,0.5511
990,Empresa_0990,industria,outbound,38,67411.11,0.706,460,0.99
1180,Empresa_1180,servicos,inbound,38,23590.22,0.808,480,0.4644
696,Empresa_0696,industria,inbound,38,5000.0,0.844,127,0.0797
405,Empresa_0405,varejo,inbound,39,44683.22,0.657,15,0.2474
1756,Empresa_1756,saude,outbound,39,84198.88,0.207,288,0.5964
1380,Empresa_1380,servicos,inbound,40,74520.68,0.529,193,0.4497
1239,Empresa_1239,varejo,indicacao,40,81037.6,0.191,291,0.2896
259,Empresa_0259,industria,outbound,40,22502.08,0.436,395,0.3157
1934,Empresa_1934,saude,inbound,40,22998.02,0.652,43,0.3764
1099,Empresa_1099,servicos,indicacao,41,74839.2,0.827,109,0.6417
75,Empresa_0075,servicos,inbound,41,63809.71,0.274,365,0.6352
103,Empresa_0103,tecnologia,indicacao,41,64750.31,0.77,297,0.8803
1969,Empresa_1969,industria,inbound,42,65930.88,0.565,17,0.3431
821,Empresa_0821,servicos,inbound,42,78755.54,0.41,170,0.4153
1861,Empresa_1861,varejo,outbound,42,28307.79,0.813,208,0.5687
340,Empresa_0340,servicos,indicacao,42,5000.0,0.762,47,0.3301
1449,Empresa_1449,tecnologia,indicacao,42,38135.6,0.129,356,0.5784
1692,Empresa_1692,saude,inbound,43,22361.02,0.725,495,0.306
1724,Empresa_1724,industria,outbound,43,72547.1,0.631,258,0.3186
575,Empresa_0575,varejo,outbound,43,20903.55,0.877,38,0.1956
1458,Empresa_1458,varejo,inbound,43,85706.37,0.645,475,0.7138
690,Empresa_0690,varejo,indicacao,43,56281.54,0.46,271,0.6554
1862,Empresa_1862,tecnologia,outbound,44,78250.26,0.881,34,0.6139
1484,Empresa_1484,saude,inbound,44,65552.19,0.484,357,0.6431
1581,Empresa_1581,industria,indicacao,44,46939.48,0.885,414,0.3621
184,Empresa_0184,varejo,inbound,44,58575.13,0.654,44,0.3426
1710,Empresa_1710,varejo,indicacao,45,38380.8,0.344,357,0.2414
1250,Empresa_1250,saude,indicacao,45,69345.98,0.966,344,0.4304
433,Empresa_0433,servicos,inbound,45,13381.88,0.373,444,0.1795
1150,Empresa_1150,tecnologia,indicacao,46,53681.16,0.388,145,0.5506
739,Empresa_0739,tecnologia,outbound,47,5054.63,0.217,132,0.3123
1552,Empresa_1552,varejo,outbound,47,38365.57,0.883,227,0.5583
1575,Empresa_1575,varejo,inbound,48,24752.21,0.622,342,0.3645
1643,Empresa_1643,saude,inbound,48,62967.88,0.615,150,0.4048
1288,Empresa_1288,industria,outbound,48,90070.19,0.243,388,0.7362
572,Empresa_0572,varejo,indicacao,48,55240.72,0.861,325,0.366
1336,Empresa_1336,saude,inbound,48,59371.06,0.866,220,0.6016
1944,Empresa_1944,servicos,indicacao,48,42406.47,0.996,393,0.6458
1346,Empresa_1346,industria,inbound,49,56536.87,0.699,33,0.4301
813,Empresa_0813,servicos,inbound,49,39920.85,0.748,486,0.3863
1980,Empresa_1980,varejo,inbound,49,53412.5,0.947,122,0.3792
209,Empresa_0209,varejo,indicacao,50,43317.53,0.966,210,0.6006
1976,Empresa_1976,varejo,inbound,50,12136.58,0.193,391,0.1891
544,Empresa_0544,industria,inbound,50,44932.45,0.402,407,0.5366
749,Empresa_0749,varejo,outbound,50,32137.39,0.847,257,0.6269
586,Empresa_0586,varejo,inbound,51,26467.71,0.497,398,0.3931
60,Empresa_0060,tecnologia,indicacao,52,16342.6,0.71,408,0.7228
30,Empresa_0030,servicos,inbound,52,92832.95,0.531,245,0.6264
1433,Empresa_1433,saude,inbound,54,17290.74,0.932,254,0.388
528,Empresa_0528,saude,outbound,54,55164.58,0.827,12,0.3585
1446,Empresa_1446,tecnologia,indicacao,54,96515.6,0.002,370,0.3668
1451,Empresa_1451,saude,inbound,55,60197.96,0.717,323,0.8463
89,Empresa_0089,varejo,inbound,55,58930.62,0.504,93,0.2094
870,Empresa_0870,tecnologia,indicacao,56,55577.29,0.155,226,0.3994
1298,Empresa_1298,industria,inbound,56,26850.71,0.104,217,0.018
94,Empresa_0094,saude,inbound,56,16253.31,0.844,289,0.3564
949,Empresa_0949,servicos,outbound,57,5000.0,0.563,126,0.5977
479,Empresa_0479,industria,inbound,57,101953.47,0.912,448,0.99
1179,Empresa_1179,industria,outbound,58,58349.44,0.139,326,0.2611
1906,Empresa_1906,industria,outbound,58,50647.4,0.959,498,0.7205
1442,Empresa_1442,saude,inbound,58,22186.29,0.746,270,0.3256
494,Empresa_0494,servicos,outbound,58,43826.54,0.51,101,0.3982
508,Empresa_0508,saude,inbound,58,38808.55,0.95,153,0.413
1072,Empresa_1072,servicos,outbound,58,45414.15,0.673,333,0.7725
675,Empresa_0675,tecnologia,inbound,58,56987.01,0.512,116,0.4831
356,Empresa_0356,servicos,inbound,58,54688.02,0.792,252,0.2316
1370,Empresa_1370,industria,outbound,59,19704.9,0.232,84,0.031
1366,Empresa_1366,servicos,outbound,59,27460.24,0.134,34,0.3309
476,Empresa_0476,industria,inbound,59,71277.03,0.563,391,0.4922
807,Empresa_0807,servicos,outbound,59,25115.88,0.815,279,0.396
1991,Empresa_1991,servicos,inbound,59,60906.47,0.313,124,0.5665
585,Empresa_0585,tecnologia,outbound,59,89945.93,0.082,17,0.199
381,Empresa_0381,tecnologia,inbound,59,76191.01,0.069,90,0.0731
1309,Empresa_1309,industria,inbound,60,43049.53,0.495,388,0.5268
622,Empresa_0622,tecnologia,inbound,60,55378.27,0.07,430,0.5328
987,Empresa_0987,varejo,inbound,60,56620.8,0.254,75,0.1623
983,Empresa_0983,varejo,outbound,60,64711.66,0.602,334,0.5481
692,Empresa_0692,servicos,outbound,61,69041.07,0.53,65,0.3609
280,Empresa_0280,industria,inbound,61,59602.87,0.986,484,0.6315
295,Empresa_0295,industria,indicacao,61,53530.25,0.17,278,0.3932
888,Empresa_0888,tecnologia,outbound,62,5000.0,0.882,383,0.6458
625,Empresa_0625,servicos,inbound,62,39330.95,0.614,160,0.4927
1888,Empresa_1888,saude,inbound,62,18775.94,0.036,129,0.01
1139,Empresa_1139,tecnologia,inbound,62,50075.93,0.058,164,0.24
1923,Empresa_1923,tecnologia,inbound,63,72579.82,0.432,388,0.4221
1793,Empresa_1793,servicos,outbound,63,43984.71,0.795,31,0.2205
649,Empresa_0649,varejo,inbound,63,42190.72,0.875,218,0.4756
1676,Empresa_1676,tecnologia,indicacao,64,69770.64,0.515,180,0.5964
1217,Empresa_1217,varejo,inbound,64,5004.32,0.072,66,0.01
1701,Empresa_1701,tecnologia,inbound,64,40131.97,0.25,243,0.1772
521,Empresa_0521,tecnologia,outbound,64,32246.09,0.041,67,0.0886
643,Empresa_0643,servicos,outbound,64,53439.21,0.255,240,0.85
1902,Empresa_1902,tecnologia,inbound,65,62058.74,0.091,458,0.2077
346,Empresa_0346,varejo,outbound,66,38177.93,0.756,99,0.3528
79,Empresa_0079,saude,inbound,67,43813.07,0.379,272,0.6018
1367,Empresa_1367,saude,inbound,67,76572.62,0.511,304,0.4942
47,Empresa_0047,varejo,outbound,67,54471.91,0.572,455,0.4274
1259,Empresa_1259,servicos,inbound,68,40355.35,0.719,331,0.6866
802,Empresa_0802,varejo,inbound,68,56892.1,0.064,343,0.292
672,Empresa_0672,saude,outbound,68,35722.5,0.991,389,0.622
43,Empresa_0043,tecnologia,inbound,68,54643.23,0.717,144,0.4201
139,Empresa_0139,industria,inbound,68,108277.25,0.526,385,0.5558
1281,Empresa_1281,industria,indicacao,68,6587.69,0.407,177,0.3835
1154,Empresa_1154,servicos,outbound,69,63956.34,0.932,377,0.9787
1515,Empresa_1515,tecnologia,indicacao,69,54205.83,0.711,27,0.2988
1323,Empresa_1323,saude,indicacao,69,18742.31,0.135,47,0.0985
412,Empresa_0412,tecnologia,outbound,70,36434.71,0.101,143,0.1924
1190,Empresa_1190,industria,outbound,70,80635.58,0.133,275,0.3646
1858,Empresa_1858,industria,outbound,70,57867.54,0.53,459,0.8833
1333,Empresa_1333,servicos,inbound,70,55401.91,0.455,126,0.4132
1204,Empresa_1204,saude,outbound,70,36988.73,0.473,100,0.3482
1476,Empresa_1476,industria,inbound,72,91919.98,0.868,113,0.561
682,Empresa_0682,tecnologia,inbound,72,75034.5,0.137,253,0.4495
1615,Empresa_1615,industria,inbound,73,60642.59,0.213,403,0.4775
1271,Empresa_1271,saude,indicacao,73,78986.9,0.737,472,0.7961
1507,Empresa_1507,tecnologia,inbound,73,49137.33,0.344,422,0.7806
332,Empresa_0332,saude,indicacao,73,36021.39,0.602,123,0.3174
1480,Empresa_1480,industria,inbound,73,58999.57,0.432,475,0.4366
959,Empresa_0959,varejo,indicacao,73,58160.72,0.084,368,0.3954
1791,Empresa_1791,tecnologia,inbound,74,49841.91,0.686,429,0.7936
206,Empresa_0206,servicos,inbound,74,33135.39,0.772,394,0.7926
1419,Empresa_1419,industria,indicacao,74,50560.44,0.751,462,0.7655
361,Empresa_0361,servicos,indicacao,74,57667.88,0.556,437,0.3566
1593,Empresa_1593,varejo,outbound,74,35408.46,0.805,215,0.6116
413,Empresa_0413,industria,inbound,74,64988.68,0.273,79,0.5876
1320,Empresa_1320,industria,inbound,75,34789.82,0.33,422,0.6225
1792,Empresa_1792,tecnologia,outbound,75,55476.85,0.04,194,0.2681
1083,Empresa_1083,servicos,indicacao,75,51238.33,0.689,255,0.4469
1993,Empresa_1993,industria,inbound,75,69303.41,0.379,79,0.6481
1775,Empresa_1775,varejo,outbound,76,55938.32,0.769,394,0.608
605,Empresa_0605,tecnologia,outbound,76,60822.63,0.993,439,0.7549
732,Empresa_0732,industria,inbound,76,60974.78,0.514,325,0.3301
1895,Empresa_1895,saude,inbound,76,38368.12,0.073,353,0.01
904,Empresa_0904,varejo,indicacao,77,37555.85,0.875,16,0.6063
988,Empresa_0988,tecnologia,inbound,77,43947.6,0.23,54,0.2648
90,Empresa_0090,saude,inbound,77,63307.7,0.532,241,0.6446
1912,Empresa_1912,industria,inbound,77,61037.18,0.947,262,0.4259
1670,Empresa_1670,varejo,inbound,78,48213.59,0.832,301,0.7307
482,Empresa_0482,industria,inbound,78,51830.4,0.902,452,0.6118
1678,Empresa_1678,varejo,inbound,78,35479.7,0.431,352,0.2921
1021,Empresa_1021,saude,outbound,78,56320.96,0.41,374,0.2215
512,Empresa_0512,industria,inbound,79,51989.55,0.262,128,0.3285
1595,Empresa_1595,varejo,inbound,79,59050.77,0.277,141,0.5528
758,Empresa_0758,saude,inbound,79,62792.53,0.596,180,0.5048
1303,Empresa_1303,industria,inbound,80,65077.1,0.774,203,0.6139
370,Empresa_0370,saude,inbound,80,50228.52,0.107,373,0.3389
300,Empresa_0300,industria,outbound,80,84547.0,0.066,495,0.5322
1613,Empresa_1613,saude,inbound,80,51571.97,0.879,367,0.7916
1222,Empresa_1222,tecnologia,outbound,81,58219.65,0.763,206,0.3404
312,Empresa_0312,tecnologia,indicacao,81,84878.69,0.501,39,0.3169
1681,Empresa_1681,industria,inbound,82,29491.8,0.962,423,0.651
1436,Empresa_1436,varejo,indicacao,82,41200.25,0.705,415,0.5098
1464,Empresa_1464,tecnologia,outbound,82,69771.06,0.278,236,0.4095
815,Empresa_0815,tecnologia,inbound,82,56229.06,0.414,328,0.7883
1840,Empresa_1840,varejo,inbound,82,38253.58,0.039,174,0.01
1940,Empresa_1940,tecnologia,inbound,82,24507.63,0.072,36,0.2805
858,Empresa_0858,saude,inbound,83,11260.66,0.997,468,0.99
1131,Empresa_1131,industria,inbound,83,44738.53,0.867,432,0.76
403,Empresa_0403,servicos,outbound,83,42125.18,0.583,427,0.5247
364,Empresa_0364,industria,inbound,84,47499.82,0.932,444,0.5144
1069,Empresa_1069,tecnologia,outbound,84,48452.88,0.451,42,0.3193
453,Empresa_0453,saude,inbound,84,91539.61,0.819,241,0.8626
32,Empresa_0032,tecnologia,inbound,84,39755.15,0.186,371,0.5394
41,Empresa_0041,servicos,inbound,84,60863.09,0.355,395,0.5746
1473,Empresa_1473,saude,inbound,84,5000.0,0.543,498,0.1855
1809,Empresa_1809,tecnologia,inbound,85,69214.69,0.604,347,0.6727
1510,Empresa_1510,saude,indicacao,86,51358.26,0.799,285,0.4662
1890,Empresa_1890,tecnologia,inbound,86,70490.25,0.264,229,0.3685
903,Empresa_0903,saude,outbound,86,81765.52,0.958,242,0.6489
248,Empresa_0248,saude,indicacao,86,108101.34,0.308,321,0.9848
629,Empresa_0629,saude,outbound,86,5000.0,0.582,372,0.1314
1426,Empresa_1426,servicos,outbound,86,66488.54,0.447,205,0.5863
1129,Empresa_1129,tecnologia,inbound,87,8050.98,0.678,486,0.4763
915,Empresa_0915,industria,inbound,87,73150.16,0.797,310,0.6375
365,Empresa_0365,industria,inbound,87,79629.11,0.682,92,0.6038
945,Empresa_0945,industria,inbound,87,42886.03,0.791,152,0.4688
190,Empresa_0190,tecnologia,inbound,88,84473.31,0.876,319,0.5656
344,Empresa_0344,tecnologia,inbound,88,82324.19,0.072,172,0.5759
591,Empresa_0591,varejo,inbound,88,54980.72,0.464,68,0.2419
1286,Empresa_1286,saude,indicacao,89,23472.08,0.275,213,0.2035
1307,Empresa_1307,saude,indicacao,89,74658.04,0.039,264,0.4363
1652,Empresa_1652,servicos,outbound,89,60725.94,0.047,267,0.557
136,Empresa_0136,varejo,inbound,89,56270.28,0.968,306,0.4403
1425,Empresa_1425,servicos,inbound,89,31771.13,0.439,494,0.2478
1841,Empresa_1841,varejo,inbound,90,50219.71,0.987,9,0.5322
481,Empresa_0481,industria,inbound,90,78664.29,0.913,82,0.5344
401,Empresa_0401,tecnologia,outbound,90,53935.52,0.049,135,0.4101
1395,Empresa_1395,tecnologia,indicacao,91,87246.35,0.264,390,0.8392
713,Empresa_0713,varejo,inbound,91,49758.31,0.674,374,0.4403
536,Empresa_0536,varejo,outbound,91,39224.57,0.836,392,0.5805
789,Empresa_0789,industria,inbound,92,46978.96,0.684,154,0.4519
1667,Empresa_1667,tecnologia,inbound,92,50039.99,0.992,196,0.4946
679,Empresa_0679,varejo,inbound,92,46661.44,0.168,421,0.3408
631,Empresa_0631,tecnologia,inbound,92,100986.56,0.472,125,0.5461
578,Empresa_0578,servicos,inbound,92,44949.65,0.932,18,0.2066
1036,Empresa_1036,varejo,outbound,93,69722.73,0.114,438,0.5391
85,Empresa_0085,servicos,inbound,93,59739.45,0.202,310,0.5284
1608,Empresa_1608,saude,inbound,94,45646.31,0.203,375,0.1763
1587,Empresa_1587,servicos,indicacao,94,68855.32,0.599,65,0.2755
1328,Empresa_1328,tecnologia,outbound,94,47523.81,0.163,41,0.01
873,Empresa_0873,industria,inbound,94,51260.05,0.034,319,0.2151
1709,Empresa_1709,industria,inbound,94,46720.93,0.465,397,0.476
394,Empresa_0394,industria,outbound,95,64039.07,0.756,71,0.4399
770,Empresa_0770,industria,inbound,95,84579.91,0.559,480,0.8607
1714,Empresa_1714,tecnologia,outbound,95,29746.32,0.165,445,0.1387
1816,Empresa_1816,saude,inbound,95,63287.07,0.028,439,0.5939
1494,Empresa_1494,varejo,inbound,95,42927.71,0.304,378,0.4043
1511,Empresa_1511,servicos,inbound,95,60962.57,0.498,221,0.3143
1147,Empresa_1147,tecnologia,outbound,96,42315.08,0.553,226,0.2685
1591,Empresa_1591,varejo,inbound,96,21800.61,0.822,440,0.4319
1567,Empresa_1567,servicos,outbound,96,53241.19,0.615,394,0.5412
1461,Empresa_1461,industria,indicacao,96,35507.78,0.497,42,0.2358
1152,Empresa_1152,varejo,indicacao,97,55452.91,0.094,325,0.4353
113,Empresa_0113,varejo,inbound,97,21078.84,0.414,331,0.2941
1893,Empresa_1893,tecnologia,inbound,97,6879.54,0.498,428,0.1929
746,Empresa_0746,servicos,inbound,97,85951.89,0.075,148,0.2023
1188,Empresa_1188,industria,inbound,97,62259.31,0.1,489,0.3926
1257,Empresa_1257,servicos,indicacao,98,49229.23,0.256,144,0.3602
991,Empresa_0991,saude,inbound,98,79585.49,0.618,29,0.2609
1621,Empresa_1621,saude,outbound,99,50931.15,0.211,475,0.6475
256,Empresa_0256,saude,inbound,99,58695.32,0.757,130,0.5589
34,Empresa_0034,saude,indicacao,99,62319.59,0.031,377,0.318
1132,Empresa_1132,servicos,indicacao,100,36282.95,0.365,218,0.3045
788,Empresa_0788,tecnologia,indicacao,100,28351.46,0.826,176,0.5467
1223,Empresa_1223,saude,indicacao,100,65651.18,0.952,441,0.6314
606,Empresa_0606,industria,indicacao,101,65258.53,0.42,365,0.2933
1270,Empresa_1270,saude,inbound,101,80739.31,0.064,359,0.1376
1711,Empresa_1711,saude,inbound,101,5000.0,0.262,251,0.4015
723,Empresa_0723,varejo,outbound,102,20067.23,0.841,460,0.5055
176,Empresa_0176,varejo,inbound,102,81581.83,0.452,75,0.2907
290,Empresa_0290,tecnologia,inbound,102,44960.45,0.69,121,0.521
1196,Empresa_1196,industria,inbound,103,25440.0,0.563,219,0.4886
664,Empresa_0664,tecnologia,inbound,103,48368.24,0.643,366,0.3765
1294,Empresa_1294,varejo,indicacao,103,55152.81,0.521,215,0.7218
571,Empresa_0571,tecnologia,inbound,103,48640.39,0.197,55,0.214
