repeticao,estado,etapa,tempo_total_min,execucoes,tempo_medio_min
5,B,pos_venda,3254.4,107,30.41
5,B,proposta_ia,358.0,602,0.59
5,B,geracao_leads,0.0,2000,0.0
5,C,negociacao,69182.2,587,117.86
5,C,descoberta_closer,60000.0,1000,60.0
5,C,fechamento,5953.3,295,20.18
5,C,pos_venda,3842.4,128,30.02
5,C,qualificacao_ia,400.0,2000,0.2
5,C,proposta_ia,294.5,587,0.5
5,C,match_closer_ia,100.0,1000,0.1
5,C,geracao_leads,0.0,2000,0.0
6,A,proposta_manual,129237.2,606,213.26
6,A,negociacao,67848.7,606,111.96
6,A,descoberta_closer,58320.0,972,60.0
6,A,qualificacao_sdr,56418.9,2000,28.21
6,A,fechamento,6152.6,305,20.17
6,A,pos_venda,4224.3,144,29.34
6,A,geracao_leads,0.0,2000,0.0
6,B,negociacao,63523.1,587,108.22
6,B,descoberta_closer,57120.0,952,60.0
6,B,qualificacao_sdr,56360.0,2000,28.18
6,B,fechamento,5823.2,287,20.29
6,B,pos_venda,3572.0,122,29.28
6,B,proposta_ia,339.5,587,0.58
6,B,geracao_leads,0.0,2000,0.0
6,C,negociacao,67411.2,603,111.79
6,C,descoberta_closer,60000.0,1000,60.0
6,C,fechamento,5960.1,294,20.27
6,C,pos_venda,3553.6,126,28.2
6,C,qualificacao_ia,400.0,2000,0.2
6,C,proposta_ia,301.5,603,0.5
6,C,match_closer_ia,100.0,1000,0.1
6,C,geracao_leads,0.0,2000,0.0
7,A,proposta_manual,118639.5,578,205.26
7,A,negociacao,63842.1,578,110.45
7,A,qualificacao_sdr,56224.4,2000,28.11
7,A,descoberta_closer,53520.0,892,60.0
7,A,fechamento,5990.3,305,19.64
7,A,pos_venda,4024.3,131,30.72
7,A,geracao_leads,0.0,2000,0.0
7,B,negociacao,66620.2,611,109.03
7,B,descoberta_closer,57900.0,965,60.0
7,B,qualificacao_sdr,56369.1,2000,28.18
7,B,fechamento,6100.4,309,19.74
7,B,pos_venda,3811.3,126,30.25
7,B,proposta_ia,336.5,611,0.55
7,B,geracao_leads,0.0,2000,0.0
7,C,negociacao,70381.6,604,116.53
7,C,descoberta_closer,60000.0,1000,60.0
7,C,fechamento,5593.6,285,19.63
7,C,pos_venda,3659.3,123,29.75
7,C,qualificacao_ia,400.0,2000,0.2
7,C,proposta_ia,302.0,604,0.5
7,C,match_closer_ia,100.0,1000,0.1
7,C,geracao_leads,0.0,2000,0.0
8,A,proposta_manual,128016.1,599,213.72
8,A,negociacao,66296.5,599,110.68
8,A,descoberta_closer,56760.0,946,60.0
8,A,qualificacao_sdr,55950.0,2000,27.98
8,A,fechamento,6221.6,313,19.88
8,A,pos_venda,3740.6,137,27.3
8,A,geracao_leads,0.0,2000,0.0
8,B,negociacao,66652.7,606,109.99
8,B,descoberta_closer,57660.0,961,60.0
8,B,qualificacao_sdr,57183.0,2000,28.59
8,B,fechamento,5774.9,288,20.05
8,B,pos_venda,3628.3,123,29.5
8,B,proposta_ia,347.0,606,0.57
8,B,geracao_leads,0.0,2000,0.0
8,C,negociacao,69029.4,621,111.16
8,C,descoberta_closer,60000.0,1000,60.0
8,C,fechamento,6489.4,321,20.22
8,C,pos_venda,3667.2,122,30.06
8,C,qualificacao_ia,400.0,2000,0.2
8,C,proposta_ia,310.5,621,0.5
8,C,match_closer_ia,100.0,1000,0.1
8,C,geracao_leads,0.0,2000,0.0
9,A,proposta_manual,131427.6,624,210.62
9,A,negociacao,71563.9,624,114.69
9,A,descoberta_closer,58140.0,969,60.0
9,A,qualificacao_sdr,56747.1,2000,28.37
9,A,fechamento,6022.6,302,19.94
9,A,pos_venda,4528.4,144,31.45
9,A,geracao_leads,0.0,2000,0.0
9,B,negociacao,70950.2,593,119.65
9,B,descoberta_closer,56640.0,944,60.0
9,B,qualificacao_sdr,56624.6,2000,28.31
9,B,fechamento,5908.5,297,19.89
9,B,pos_venda,4090.3,130,31.46
9,B,proposta_ia,315.5,593,0.53
9,B,geracao_leads,0.0,2000,0.0
9,C,negociacao,70240.1,627,112.03
9,C,descoberta_closer,60000.0,1000,60.0
9,C,fechamento,6521.5,328,19.88
9,C,pos_venda,4869.3,164,29.69
9,C,qualificacao_ia,400.0,2000,0.2
9,C,proposta_ia,313.5,627,0.5
9,C,match_closer_ia,100.0,1000,0.1
9,C,geracao_leads,0.0,2000,0.0
10,A,proposta_manual,126881.3,605,209.72
10,A,negociacao,67077.3,605,110.87
10,A,descoberta_closer,57240.0,954,60.0
10,A,qualificacao_sdr,56214.1,2000,28.11
10,A,fechamento,5698.6,284,20.07
10,A,pos_venda,3694.1,122,30.28
10,A,geracao_leads,0.0,2000,0.0
10,B,negociacao,64450.0,587,109.8
10,B,descoberta_closer,57420.0,957,60.0
10,B,qualificacao_sdr,55478.4,2000,27.74
10,B,fechamento,5847.4,295,19.82
10,B,pos_venda,3508.9,115,30.51
10,B,proposta_ia,316.5,587,0.54
10,B,geracao_leads,0.0,2000,0.0
10,C,negociacao,68004.7,616,110.4
10,C,descoberta_closer,60000.0,1000,60.0
10,C,fechamento,6424.8,318,20.2
10,C,pos_venda,4534.7,149,30.43
10,C,qualificacao_ia,400.0,2000,0.2
10,C,proposta_ia,308.0,616,0.5
10,C,match_closer_ia,100.0,1000,0.1
10,C,geracao_leads,0.0,2000,0.0
11,A,proposta_manual,125401.2,589,212.91
11,A,negociacao,68109.4,589,115.64
11,A,qualificacao_sdr,56655.3,2000,28.33
11,A,descoberta_closer,56280.0,938,60.0
11,A,fechamento,5553.9,283,19.63
11,A,pos_venda,3047.9,109,27.96
11,A,geracao_leads,0.0,2000,0.0
11,B,negociacao,64340.7,586,109.8
11,B,descoberta_closer,56160.0,936,60.0
11,B,qualificacao_sdr,55733.7,2000,27.87
11,B,fechamento,6110.6,308,19.84
11,B,pos_venda,3970.3,129,30.78
11,B,proposta_ia,308.0,586,0.53
11,B,geracao_leads,0.0,2000,0.0
11,C,negociacao,69350.5,622,111.5
11,C,descoberta_closer,60000.0,1000,60.0
11,C,fechamento,6337.5,310,20.44
11,C,pos_venda,3780.1,128,29.53
11,C,qualificacao_ia,400.0,2000,0.2
11,C,proposta_ia,311.0,622,0.5
11,C,match_closer_ia,100.0,1000,0.1
11,C,geracao_leads,0.0,2000,0.0
12,A,proposta_manual,131178.8,623,210.56
12,A,negociacao,69905.2,623,112.21
12,A,descoberta_closer,58620.0,977,60.0
12,A,qualificacao_sdr,56371.4,2000,28.19
12,A,fechamento,6332.9,305,20.76
12,A,pos_venda,3758.3,127,29.59
12,A,geracao_leads,0.0,2000,0.0
12,B,negociacao,66737.2,582,114.67
12,B,qualificacao_sdr,56426.8,2000,28.21
12,B,descoberta_closer,54720.0,912,60.0
12,B,fechamento,5518.8,274,20.14
12,B,pos_venda,3311.4,114,29.05
12,B,proposta_ia,315.0,582,0.54
12,B,geracao_leads,0.0,2000,0.0
12,C,negociacao,68043.8,586,116.12
12,C,descoberta_closer,60000.0,1000,60.0
12,C,fechamento,5989.3,303,19.77
12,C,pos_venda,3479.5,126,27.62
12,C,qualificacao_ia,400.0,2000,0.2
12,C,proposta_ia,293.0,586,0.5
12,C,match_closer_ia,100.0,1000,0.1
12,C,geracao_leads,0.0,2000,0.0
13,A,proposta_manual,127967.2,603,212.22
13,A,negociacao,65622.1,603,108.83
13,A,descoberta_closer,56760.0,946,60.0
13,A,qualificacao_sdr,56312.6,2000,28.16
13,A,fechamento,5711.3,284,20.11
13,A,pos_venda,3510.0,113,31.06
13,A,geracao_leads,0.0,2000,0.0
13,B,negociacao,62221.4,561,110.91
13,B,qualificacao_sdr,56833.5,2000,28.42
13,B,descoberta_closer,56820.0,947,60.0
13,B,fechamento,4976.1,244,20.39
13,B,pos_venda,3301.5,107,30.86
13,B,proposta_ia,296.5,561,0.53
13,B,geracao_leads,0.0,2000,0.0
13,C,negociacao,71368.1,619,115.3
13,C,descoberta_closer,60000.0,1000,60.0
13,C,fechamento,6444.6,317,20.33
13,C,pos_venda,4484.9,149,30.1
13,C,qualificacao_ia,400.0,2000,0.2
13,C,proposta_ia,309.5,619,0.5
13,C,match_closer_ia,100.0,1000,0.1
13,C,geracao_leads,0.0,2000,0.0
14,A,proposta_manual,123305.6,591,208.64
14,A,negociacao,67380.3,591,114.01
14,A,descoberta_closer,56520.0,942,60.0
14,A,qualificacao_sdr,56440.7,2000,28.22
14,A,fechamento,5686.0,281,20.23
14,A,pos_venda,3327.6,107,31.1
14,A,geracao_leads,0.0,2000,0.0
14,B,negociacao,65950.5,582,113.32
14,B,qualificacao_sdr,56050.6,2000,28.03
14,B,descoberta_closer,55740.0,929,60.0
14,B,fechamento,5469.8,280,19.54
14,B,pos_venda,3135.2,105,29.86
14,B,proposta_ia,301.0,582,0.52
14,B,geracao_leads,0.0,2000,0.0
14,C,negociacao,69032.1,610,113.17
14,C,descoberta_closer,60000.0,1000,60.0
14,C,fechamento,5377.1,274,19.62
14,C,pos_venda,3810.8,123,30.98
14,C,qualificacao_ia,400.0,2000,0.2
14,C,proposta_ia,305.0,610,0.5
14,C,match_closer_ia,100.0,1000,0.1
14,C,geracao_leads,0.0,2000,0.0
15,A,proposta_manual,118039.3,557,211.92
15,A,negociacao,62799.5,557,112.75
15,A,descoberta_closer,56400.0,940,60.0
15,A,qualificacao_sdr,55727.3,2000,27.86
15,A,fechamento,5551.6,282,19.69
15,A,pos_venda,4122.6,123,33.52
15,A,geracao_leads,0.0,2000,0.0
15,B,negociacao,65240.6,595,109.65
15,B,descoberta_closer,58440.0,974,60.0
15,B,qualificacao_sdr,56837.8,2000,28.42
15,B,fechamento,5192.3,265,19.59
15,B,pos_venda,3643.4,123,29.62
15,B,proposta_ia,305.5,595,0.51
15,B,geracao_leads,0.0,2000,0.0
15,C,negociacao,66722.2,619,107.79
15,C,descoberta_closer,60000.0,1000,60.0
15,C,fechamento,6358.0,309,20.58
15,C,pos_venda,4327.9,143,30.27
15,C,qualificacao_ia,400.0,2000,0.2
15,C,proposta_ia,309.5,619,0.5
15,C,match_closer_ia,100.0,1000,0.1
15,C,geracao_leads,0.0,2000,0.0
16,A,proposta_manual,118986.6,578,205.86
16,A,negociacao,65503.4,578,113.33
16,A,descoberta_closer,58140.0,969,60.0
16,A,qualificacao_sdr,57340.8,2000,28.67
16,A,fechamento,5357.3,266,20.14
16,A,pos_venda,3560.8,117,30.43
16,A,geracao_leads,0.0,2000,0.0
16,B,negociacao,66641.4,585,113.92
16,B,descoberta_closer,57540.0,959,60.0
16,B,qualificacao_sdr,56284.9,2000,28.14
16,B,fechamento,5695.8,289,19.71
16,B,pos_venda,3915.2,127,30.83
16,B,proposta_ia,300.5,585,0.51
16,B,geracao_leads,0.0,2000,0.0
16,C,negociacao,68380.4,601,113.78
16,C,descoberta_closer,60000.0,1000,60.0
16,C,fechamento,5837.3,293,19.92
16,C,pos_venda,4072.7,138,29.51
16,C,qualificacao_ia,400.0,2000,0.2
16,C,proposta_ia,300.5,601,0.5
16,C,match_closer_ia,100.0,1000,0.1
16,C,geracao_leads,0.0,2000,0.0
17,A,proposta_manual,129823.1,617,210.41
17,A,negociacao,70045.7,617,113.53
17,A,descoberta_closer,57240.0,954,60.0
17,A,qualificacao_sdr,55818.1,2000,27.91
17,A,fechamento,5947.1,302,19.69
17,A,pos_venda,3456.8,116,29.8
17,A,geracao_leads,0.0,2000,0.0
17,B,negociacao,65470.3,588,111.34
17,B,descoberta_closer,57300.0,955,60.0
17,B,qualificacao_sdr,56503.3,2000,28.25
17,B,fechamento,5395.6,274,19.69
17,B,pos_venda,3288.7,114,28.85
17,B,proposta_ia,302.0,588,0.51
17,B,geracao_leads,0.0,2000,0.0
17,C,negociacao,67541.4,591,114.28
17,C,descoberta_closer,60000.0,1000,60.0
17,C,fechamento,5348.5,261,20.49
17,C,pos_venda,3794.6,124,30.6
17,C,qualificacao_ia,400.0,2000,0.2
17,C,proposta_ia,295.5,591,0.5
17,C,match_closer_ia,100.0,1000,0.1
17,C,geracao_leads,0.0,2000,0.0
18,A,proposta_manual,117851.0,553,213.11
18,A,negociacao,62158.8,553,112.4
18,A,descoberta_closer,56940.0,949,60.0
18,A,qualificacao_sdr,56808.9,2000,28.4
18,A,fechamento,5308.9,259,20.5
18,A,pos_venda,3347.2,113,29.62
18,A,geracao_leads,0.0,2000,0.0
18,B,negociacao,68490.1,593,115.5
18,B,qualificacao_sdr,56289.2,2000,28.14
18,B,descoberta_closer,54540.0,909,60.0
18,B,fechamento,5909.0,296,19.96
18,B,pos_venda,4262.3,151,28.23
18,B,proposta_ia,300.5,593,0.51
18,B,geracao_leads,0.0,2000,0.0
18,C,negociacao,68928.0,618,111.53
18,C,descoberta_closer,60000.0,1000,60.0
18,C,fechamento,6068.7,307,19.77
18,C,pos_venda,4346.2,148,29.37
18,C,qualificacao_ia,400.0,2000,0.2
18,C,proposta_ia,309.0,618,0.5
18,C,match_closer_ia,100.0,1000,0.1
18,C,geracao_leads,0.0,2000,0.0
19,A,proposta_manual,124784.3,601,207.63
19,A,negociacao,68771.3,601,114.43
19,A,descoberta_closer,57480.0,958,60.0
19,A,qualificacao_sdr,56611.7,2000,28.31
19,A,fechamento,5958.4,307,19.41
19,A,pos_venda,3640.3,124,29.36
19,A,geracao_leads,0.0,2000,0.0
19,B,negociacao,66746.2,594,112.37
19,B,descoberta_closer,57420.0,957,60.0
19,B,qualificacao_sdr,57050.7,2000,28.53
19,B,fechamento,6104.9,307,19.89
19,B,pos_venda,4261.9,137,31.11
19,B,proposta_ia,302.0,594,0.51
19,B,geracao_leads,0.0,2000,0.0
19,C,negociacao,68697.5,605,113.55
19,C,descoberta_closer,60000.0,1000,60.0
19,C,fechamento,6128.8,306,20.03
19,C,pos_venda,4178.2,135,30.95
19,C,qualificacao_ia,400.0,2000,0.2
19,C,proposta_ia,302.5,605,0.5
19,C,match_closer_ia,100.0,1000,0.1
19,C,geracao_leads,0.0,2000,0.0
20,A,proposta_manual,126173.9,605,208.55
20,A,negociacao,67744.8,605,111.97
20,A,descoberta_closer,59040.0,984,60.0
20,A,qualificacao_sdr,56015.8,2000,28.01
20,A,fechamento,5746.9,286,20.09
20,A,pos_venda,4168.0,140,29.77
20,A,geracao_leads,0.0,2000,0.0
20,B,negociacao,72480.8,636,113.96
20,B,descoberta_closer,59940.0,999,60.0
20,B,qualificacao_sdr,56513.8,2000,28.26
20,B,fechamento,5786.3,300,19.29
20,B,pos_venda,4416.1,147,30.04
20,B,proposta_ia,327.0,636,0.51
20,B,geracao_leads,0.0,2000,0.0
20,C,negociacao,65792.8,566,116.24
20,C,descoberta_closer,60000.0,1000,60.0
20,C,fechamento,5431.7,274,19.82
20,C,pos_venda,3579.1,114,31.4
20,C,qualificacao_ia,400.0,2000,0.2
20,C,proposta_ia,283.0,566,0.5
20,C,match_closer_ia,100.0,1000,0.1
20,C,geracao_leads,0.0,2000,0.0
21,A,proposta_manual,124221.6,595,208.78
21,A,negociacao,65819.8,595,110.62
21,A,descoberta_closer,58380.0,973,60.0
21,A,qualificacao_sdr,56142.5,2000,28.07
21,A,fechamento,5912.9,293,20.18
21,A,pos_venda,3464.5,117,29.61
21,A,geracao_leads,0.0,2000,0.0
21,B,negociacao,67060.2,588,114.05
21,B,descoberta_closer,56640.0,944,60.0
21,B,qualificacao_sdr,56345.8,2000,28.17
21,B,fechamento,5415.5,279,19.41
21,B,pos_venda,3256.5,107,30.43
21,B,proposta_ia,297.0,588,0.51
21,B,geracao_leads,0.0,2000,0.0
21,C,negociacao,65688.2,581,113.06
21,C,descoberta_closer,60000.0,1000,60.0
21,C,fechamento,5730.3,297,19.29
21,C,pos_venda,4154.0,138,30.1
21,C,qualificacao_ia,400.0,2000,0.2
21,C,proposta_ia,290.5,581,0.5
21,C,match_closer_ia,100.0,1000,0.1
21,C,geracao_leads,0.0,2000,0.0
22,A,proposta_manual,126605.1,599,211.36
22,A,negociacao,68153.9,599,113.78
22,A,descoberta_closer,57300.0,955,60.0
22,A,qualificacao_sdr,56765.7,2000,28.38
22,A,fechamento,5668.3,282,20.1
22,A,pos_venda,3773.4,128,29.48
22,A,geracao_leads,0.0,2000,0.0
22,B,negociacao,69403.7,584,118.84
22,B,qualificacao_sdr,56598.4,2000,28.3
22,B,descoberta_closer,56340.0,939,60.0
22,B,fechamento,6121.2,299,20.47
22,B,pos_venda,3741.3,128,29.23
22,B,proposta_ia,298.0,584,0.51
22,B,geracao_leads,0.0,2000,0.0
22,C,negociacao,66768.6,600,111.28
22,C,descoberta_closer,60000.0,1000,60.0
22,C,fechamento,5932.0,294,20.18
22,C,pos_venda,3838.7,126,30.47
22,C,qualificacao_ia,400.0,2000,0.2
22,C,proposta_ia,300.0,600,0.5
22,C,match_closer_ia,100.0,1000,0.1
22,C,geracao_leads,0.0,2000,0.0
23,A,proposta_manual,124739.6,584,213.6
23,A,negociacao,65798.7,584,112.67
23,A,qualificacao_sdr,56637.1,2000,28.32
23,A,descoberta_closer,56580.0,943,60.0
23,A,fechamento,5580.1,273,20.44
23,A,pos_venda,3372.3,115,29.32
23,A,geracao_leads,0.0,2000,0.0
23,B,negociacao,68832.7,622,110.66
23,B,descoberta_closer,58560.0,976,60.0
23,B,qualificacao_sdr,56067.1,2000,28.03
23,B,fechamento,6048.0,301,20.09
23,B,pos_venda,4311.3,144,29.94
23,B,proposta_ia,315.0,622,0.51
23,B,geracao_leads,0.0,2000,0.0
23,C,negociacao,69306.6,624,111.07
23,C,descoberta_closer,60000.0,1000,60.0
23,C,fechamento,6528.8,324,20.15
23,C,pos_venda,3849.7,132,29.16
23,C,qualificacao_ia,400.0,2000,0.2
23,C,proposta_ia,312.0,624,0.5
23,C,match_closer_ia,100.0,1000,0.1
23,C,geracao_leads,0.0,2000,0.0
24,A,proposta_manual,123607.5,602,205.33
24,A,negociacao,69789.7,602,115.93
24,A,descoberta_closer,56700.0,945,60.0
24,A,qualificacao_sdr,56339.2,2000,28.17
24,A,fechamento,6041.6,300,20.14
24,A,pos_venda,4264.3,142,30.03
24,A,geracao_leads,0.0,2000,0.0
24,B,negociacao,66997.9,611,109.65
24,B,descoberta_closer,58560.0,976,60.0
24,B,qualificacao_sdr,57171.6,2000,28.59
24,B,fechamento,5724.0,285,20.08
24,B,pos_venda,4058.8,131,30.98
24,B,proposta_ia,306.5,611,0.5
24,B,geracao_leads,0.0,2000,0.0
24,C,negociacao,70070.5,626,111.93
24,C,descoberta_closer,60000.0,1000,60.0
24,C,fechamento,6425.5,315,20.4
24,C,pos_venda,4084.2,139,29.38
24,C,qualificacao_ia,400.0,2000,0.2
24,C,proposta_ia,313.0,626,0.5
24,C,match_closer_ia,100.0,1000,0.1
24,C,geracao_leads,0.0,2000,0.0
25,A,proposta_manual,129338.0,609,212.38
25,A,negociacao,66395.9,609,109.02
25,A,descoberta_closer,58320.0,972,60.0
25,A,qualificacao_sdr,56200.7,2000,28.1
25,A,fechamento,5795.6,291,19.92
25,A,pos_venda,3905.3,127,30.75
25,A,geracao_leads,0.0,2000,0.0
25,B,negociacao,69863.4,610,114.53
25,B,descoberta_closer,58680.0,978,60.0
25,B,qualificacao_sdr,56634.1,2000,28.32
25,B,fechamento,5477.9,268,20.44
25,B,pos_venda,3356.9,113,29.71
25,B,proposta_ia,310.0,610,0.51
25,B,geracao_leads,0.0,2000,0.0
25,C,negociacao,65099.9,582,111.86
25,C,descoberta_closer,60000.0,1000,60.0
25,C,fechamento,6031.2,307,19.65
25,C,pos_venda,4096.1,141,29.05
25,C,qualificacao_ia,400.0,2000,0.2
25,C,proposta_ia,291.0,582,0.5
25,C,match_closer_ia,100.0,1000,0.1
25,C,geracao_leads,0.0,2000,0.0
26,A,proposta_manual,118574.1,565,209.87
26,A,negociacao,63346.3,565,112.12
26,A,descoberta_closer,58020.0,967,60.0
26,A,qualificacao_sdr,55819.9,2000,27.91
26,A,fechamento,5488.6,279,19.67
26,A,pos_venda,3997.0,132,30.28
26,A,geracao_leads,0.0,2000,0.0
26,B,negociacao,64618.3,592,109.15
26,B,qualificacao_sdr,56832.0,2000,28.42
26,B,descoberta_closer,56460.0,941,60.0
26,B,fechamento,5585.3,279,20.02
26,B,pos_venda,3929.1,133,29.54
26,B,proposta_ia,296.0,592,0.5
26,B,geracao_leads,0.0,2000,0.0
26,C,negociacao,68789.9,592,116.2
26,C,descoberta_closer,60000.0,1000,60.0
26,C,fechamento,5956.9,300,19.86
26,C,pos_venda,4415.0,145,30.45
26,C,qualificacao_ia,400.0,2000,0.2
26,C,proposta_ia,296.0,592,0.5
26,C,match_closer_ia,100.0,1000,0.1
26,C,geracao_leads,0.0,2000,0.0
27,A,proposta_manual,123814.4,591,209.5
27,A,negociacao,66738.1,591,112.92
27,A,descoberta_closer,59280.0,988,60.0
27,A,qualificacao_sdr,56956.8,2000,28.48
27,A,fechamento,6038.5,298,20.26
27,A,pos_venda,3950.8,132,29.93
27,A,geracao_leads,0.0,2000,0.0
27,B,negociacao,64887.2,569,114.04
27,B,qualificacao_sdr,56692.0,2000,28.35
27,B,descoberta_closer,55500.0,925,60.0
27,B,fechamento,5355.9,266,20.13
27,B,pos_venda,3846.7,123,31.27
27,B,proposta_ia,288.5,569,0.51
27,B,geracao_leads,0.0,2000,0.0
27,C,negociacao,66284.3,598,110.84
27,C,descoberta_closer,60000.0,1000,60.0
27,C,fechamento,6539.8,326,20.06
27,C,pos_venda,4007.7,134,29.91
27,C,qualificacao_ia,400.0,2000,0.2
27,C,proposta_ia,299.0,598,0.5
27,C,match_closer_ia,100.0,1000,0.1
27,C,geracao_leads,0.0,2000,0.0
28,A,proposta_manual,119190.3,563,211.71
28,A,negociacao,63949.0,563,113.59
28,A,descoberta_closer,56580.0,943,60.0
28,A,qualificacao_sdr,56342.8,2000,28.17
28,A,fechamento,5802.4,294,19.74
28,A,pos_venda,3573.1,127,28.13
28,A,geracao_leads,0.0,2000,0.0
28,B,negociacao,68376.4,608,112.46
28,B,descoberta_closer,57480.0,958,60.0
28,B,qualificacao_sdr,56648.2,2000,28.32
28,B,fechamento,5196.8,261,19.91
28,B,pos_venda,3050.2,108,28.24
28,B,proposta_ia,310.0,608,0.51
28,B,geracao_leads,0.0,2000,0.0
28,C,negociacao,65792.7,580,113.44
28,C,descoberta_closer,60000.0,1000,60.0
28,C,fechamento,6146.9,301,20.42
28,C,pos_venda,4074.2,142,28.69
28,C,qualificacao_ia,400.0,2000,0.2
28,C,proposta_ia,290.0,580,0.5
28,C,match_closer_ia,100.0,1000,0.1
28,C,geracao_leads,0.0,2000,0.0
29,A,proposta_manual,130501.3,613,212.89
29,A,negociacao,70341.2,613,114.75
29,A,descoberta_closer,57840.0,964,60.0
29,A,qualificacao_sdr,56468.2,2000,28.23
29,A,fechamento,6254.4,312,20.05
29,A,pos_venda,3898.1,133,29.31
29,A,geracao_leads,0.0,2000,0.0
29,B,negociacao,69917.8,626,111.69
29,B,descoberta_closer,59820.0,997,60.0
29,B,qualificacao_sdr,56874.1,2000,28.44
29,B,fechamento,6004.6,301,19.95
29,B,pos_venda,3845.2,130,29.58
29,B,proposta_ia,318.0,626,0.51
29,B,geracao_leads,0.0,2000,0.0
29,C,negociacao,69872.4,606,115.3
29,C,descoberta_closer,60000.0,1000,60.0
29,C,fechamento,5837.7,296,19.72
29,C,pos_venda,3809.4,127,30.0
29,C,qualificacao_ia,400.0,2000,0.2
29,C,proposta_ia,303.0,606,0.5
29,C,match_closer_ia,100.0,1000,0.1
29,C,geracao_leads,0.0,2000,0.0
30,A,proposta_manual,129246.5,609,212.23
30,A,negociacao,63625.2,609,104.47
30,A,descoberta_closer,57480.0,958,60.0
30,A,qualificacao_sdr,56679.8,2000,28.34
30,A,fechamento,6022.0,294,20.48
30,A,pos_venda,4178.4,133,31.42
30,A,geracao_leads,0.0,2000,0.0
30,B,negociacao,63372.9,582,108.89
30,B,qualificacao_sdr,56191.2,2000,28.1
30,B,descoberta_closer,55320.0,922,60.0
30,B,fechamento,5829.5,294,19.83
30,B,pos_venda,3859.8,123,31.38
30,B,proposta_ia,296.0,582,0.51
30,B,geracao_leads,0.0,2000,0.0
30,C,negociacao,70913.3,619,114.56
30,C,descoberta_closer,60000.0,1000,60.0
30,C,fechamento,6541.1,324,20.19
30,C,pos_venda,4665.7,153,30.49
30,C,qualificacao_ia,400.0,2000,0.2
30,C,proposta_ia,309.5,619,0.5
30,C,match_closer_ia,100.0,1000,0.1
30,C,geracao_leads,0.0,2000,0.0
